node,address,is_infra,chain_id,year,month,in_degree,out_degree,in_transfer_count,out_transfer_count,total_input_amount,total_output_amount,balance_proxy,self_loop_count,two_node_loop_count,two_node_loop_amount,two_node_loop_tx_count,triangle_loop_count,triangle_loop_amount,triangle_loop_tx_count,egonet_node_count,egonet_edge_count,egonet_density,H1_flag,H1_description,H2_flag,H2_description,H3_flag,H3_description,H4_flag,H4_description,H5_flag,H5_description,H6_flag,H6_description,mahalanobis_distance,iforest_score,rule_score_raw,rule_score_100,mahalanobis_distance_stats_score_100,iforest_stats_score_100,final_score_0_100,final_score_top_percent,final_score_top_percent_display
53,0x2e0239b77856efd5ab20b3d09dc0eb494b3e522d,0,1,2023,1,0.0,1.0,0.0,1.0,0.0,2e+16,-20000000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.4439367591869114,-0.022627427750824658,0.0,0.0,31.935484,36.774193,22.903227,66.45,66.45%
54,0x5572303165aa526a52f0c69b2215d292e734af13,0,1,2023,1,1.0,0.0,1.0,0.0,2e+16,0.0,20000000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.4717961832597959,-0.019468215863632676,0.0,0.0,35.80645,51.935482,29.247309,52.26,52.26%
55,0x2e9f2ff5a16a80db3dd9998eee9147b5da585124,0,1,2023,1,0.0,1.0,0.0,1.0,0.0,2.45534261274948e+17,-245534261274948000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.5459341027821998,-0.022040619427001584,0.0,0.0,53.870968,42.258064,32.04301,48.06,48.06%
56,0x912fd21d7a69678227fe6d08c64222db41477ba0,0,1,2023,1,1.0,0.0,1.0,0.0,2.45534261274948e+17,0.0,245534261274948000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.6308693518084036,-0.01874949623345057,0.0,0.0,67.41936,55.16129,40.860214,37.42,37.42%
57,0x30cc4096861925584aed2121c28ef7873c4c7c32,0,1,2023,1,0.0,1.0,0.0,1.0,0.0,1.304629627926264e+18,-1304629627926264000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.5946682883096752,-0.01410439355877613,0.0,0.0,62.903225,65.48387,42.7957,34.52,34.52%
58,0xfa9f7a1cbfbcb688729c522b4f0905ccf4d26d25,0,1,2023,1,1.0,0.0,1.0,0.0,1.304629627926264e+18,0.0,1304629627926264000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.8829820943635154,-0.011401311184809193,0.0,0.0,83.548386,69.67742,51.075268,23.87,23.87%
59,0x342d0c672253bef4e4271d1ec2672b0466c11b82,0,1,2023,1,0.0,1.0,0.0,1.0,0.0,9.4680401932022e+16,-94680401932022000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.4230047491355864,-0.026303383045842677,0.0,0.0,26.129032,5.483871,10.537635,89.03,89.03%
60,0x34bf571ada242ba0386bf287f436cf15c7c1a598,0,1,2023,1,0.0,1.0,0.0,1.0,0.0,5.5503930046778e+17,-555039300467780000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.5789158309702522,-0.021438793542661594,0.0,0.0,60.322582,47.419353,35.91398,42.58,42.58%
61,0x35c7f81e953c61ab42d0a052f0fadea82fb0f362,0,1,2023,1,0.0,1.0,0.0,1.0,0.0,5e+16,-50000000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.4979790410723204,-0.025206212585430432,0.0,0.0,41.29032,15.806452,19.032257,72.58,72.58%
62,0x387f4e215ac1299a125e905aed48e9c6ea5c4470,0,1,2023,1,0.0,1.0,0.0,1.0,0.0,6.681050311104521e+16,-66810503111045210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.5519112276302565,-0.026131479789974488,0.0,0.0,55.16129,8.387096,21.182795,70.97,70.97%
